Party voted for in last national election 2, Germany
1,CDU/CSU
2,SPD
3,Die Linke
4,Bündnis 90/ Die Grünen
5,FDP
6,AfD
7,Piratenpartei
8,NPD
9,Andere Partei
66,Not applicable
77,Refusal
88,Don't know
99,No answer
