Party voted for in last national election, Israel
1,HaMahane HaTzioni
2,HaLikud
3,Yisrael Beiteinu
4,Shas
5,Meretz
6,HaBayit HaYehudi
7,Yahadut HaTora
8,Yesh Atid
9,Kulanu
10,Yachad
11,HaReshima HaMeshutefet
12,HaReshima HaArvit
13,Ale Yarok
14,Other
15,White ballot
66,Not applicable
77,Refusal
88,Don't know
99,No answer
