Party voted for in last national election, Estonia
1,Eesti Reformierakond
2,Eesti Keskerakond
3,Erakond Isamaa ja Res Publica Liit
4,Sotsiaaldemokraatlik Erakond
5,Erakond Eestimaa Rohelised
6,Konservatiivne Rahvaerakond (endie Rahvaliit)
7,Vene Erakond Eestis
8,Erakond Eesti Kristlikud Demokraadid
9,Eesti Iseseisvuspartei
10,Üksikkandidaadid või muud
66,Not applicable
77,Refusal
88,Don't know
99,No answer
