Party voted for in last national election, Hungary
1,Fidesz - KDNP (Fidesz – Magyar Polgári Szövetség Keresztényd)
2,Jobbik (Jobbik Magyarországért Mozgalom)
3,LMP (Lehet Más A Politika)
4,MSZP-Együtt-DK-PM-MLP (Kormányváltók)
5,Munkáspárt (Magyar Kommunista Munkáspárt)
55,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
