Party voted for in last national election, Estonia
1,Res Publica
2,Estonian Centre Party
3,Estonian Reform Party
4,Pro Patria Union
5,Estonian Social Democrats
6,Estonian People's Union
7,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
