Party voted for in last national election, Hungary
1,Fidesz - KDNP
2,MDF
3,Harmadik Út (MIÉP - Jobbik Magyarországért)
4,MSZP
5,Munkáspárt
6,SZDSZ
7,Centrumpárt
8,Other party
9,Didn't go to vote
66,Not applicable
77,Refusal
88,Don't know
99,No answer
