Party voted for in last national election, Bulgaria
1,BSP
2,DPS
3,Coalition of the rose
4,DSB
5,NDSV
6,SDS
7,BNS
8,Novoto Vreme
9,Evroroma
10,Coalition Ataka
11,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
