Party voted for in last national election, Ukraine
1,Party of Regions
2,Bloc of Yulia Tymoshenko
3,Bloc 'Our Ukraine'
4,Socialist party of Ukraine
5,Communist party of Ukraine
6,Bloc of Natalya Vitrenko 'Peoples' opposition'
7,Peoples' bloc of Lytvyn
8,Ukrainian Peoples' bloc of Kostenko and Plyusch
9,Party 'Veche'
10,Civil bloc PORA-PRP
11,Oppositional bloc 'NOT THIS WAY'
12,other
13,against all
66,Not applicable
77,Refusal
88,Don't know
99,No answer
