Party voted for in last national election, Belgium
1,Agalev/Groen!
2,CD&V
3,N-VA
4,RESIST
5,SP.A-Spirit
6,Vivant
7,Vlaams Blok
8,VLD
9,CDH
10,Ecolo
11,Front National
12,MR
13,PS
14,Other
15,Blank
16,Invalid
66,Not applicable
77,Refusal
88,Don't know
99,No answer
