Party voted for in last national election, Switzerland
1,Radicals
2,Christian-democrats
3,Social-democrats
4,Swiss People's Party
5,Liberal Party
7,Evangelical People's Party
8,Christian-Social Party
9,Swiss Labour Party
10,Green Party
11,Swiss Democrats
12,Federal Democratic Union
13,Freiheits-Partei
14,Women's Parties
15,Lega dei Ticinesi
16,Others
66,Not applicable
77,Refusal
88,Don't know
99,No answer
