Party voted for in last national election, Romania
1,Alliance National Liberal Party and Democratic Party (DA)
2,Alliance Social Democratic Party and Humanistic Party
3,Greater Romania Party
4,Democratic Union of Ethnic Hungarians
5,Other party
66,Not applicable
77,Refusal
88,Don't know
99,No answer
