Party voted for in last national election, Slovakia
1,Movement for a Democratic Slovakia (HZDS)
2,Slovak Democratic Christian Union (SDKU)
3,SMER
4,Party of Hungarian Coalition (SMK)
5,Christian Democratic Movement (KDH)
6,Slovak National Party (SNS)
7,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
