Party voted for in last national election, Poland
1,KORWiN
2,Kukiz'15
3,Nowoczesna
4,Platforma Obywatelska
5,Polskie Stronnictwo Ludowe
6,Prawo i Sprawiedliwość
7,Razem
8,Zjednoczona Lewica
9,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
