Party voted for in last national election, Hungary
1,DK (Demokratikus Koalíció)
2,Együtt2014 Mozgalom
3,Fidesz (Fidesz Magyar Polgári Párt)
4,Jobbik (Jobbik Magyarországért Mozgalom)
5,KDNP (Kereszténydemokrata Néppárt)
6,LMP (Lehet Más A Politika)
7,MSZP (Magyar Szocialista Párt)
8,Munkáspárt (Magyar Kommunista Munkáspárt)
9,Momentum Mozgalom
10,Párbeszéd (Párbeszéd Magyarországért Párt)
11,MKKP (Magyar Kétfarkú Kutya Párt)
55,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
