Party voted for in last national election, Iceland
1,Sjálfstæðisflokkinn
2,Framsóknarflokkinn
3,Vinstri hreyfinguna - grænt framboð
4,Samfylkinguna
5,Bjarta framtíð
6,Pírata
7,Viðreisn
8,Miðflokkinn
9,Dögun
10,Alþýðufylkinguna
12,Húmanistaflokkinn
13,Flokk fólksins
14,Íslensku þjóðfylkinguna
15,Blank paper
20,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
