Party voted for in last national election, Cyprus
1,Progressive Party of Working People (AKEL)
2,Democratic Party (DIKO)
3,Democratic Rally (DISY)
4,National Popular Front (ELAM)
5,Solidarity Movement (KINIMA ALLILEGII)
6,The Cyprus Green Party
7,Citizens' Alliance (SYMMACHIA POLITON)
8,Social Democrats (KS EDEK)
9,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
