Party voted for in last national election 2, Germany
1,Christian Democratic Union/Christian Social Union (CDU/CSU)
2,Social Democratic Party (SPD)
3,The Left (Die Linke)
4,Alliance 90/The Greens (Bündnis 90/Die Grünen)
5,Free Democratic Party (FDP)
6,Alternative for Germany (AFD)
7,Pirate Party (Piratenpartei)
8,National Democratic Party (NPD)
9,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
