Party voted for in last national election, Estonia
1,Eesti Reformierakond
2,Eesti Keskerakond
3,Erakond Isamaa ja Res Publica Liit
4,Sotsiaaldemokraatlik Erakond
5,Erakond Eestimaa Rohelised
6,Eesti Konservatiivne Rahvaerakond
9,Eesti Iseseisvuspartei
10,Üksikkandidaadid või muud
11,Eesti Vabaerakond
12,Rahva Ühtsuse Erakond
13,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
