Party voted for in last national election, Slovenia
1,DESUS - Demokraticna stranka upokojencev Slovenije
2,L - Levica
3,LMŠ - Lista Marjana Šarca
4,NSI - Nova Slovenija – Kršcanski demokrati
5,PS - Pozitivna Slovenija
6,SD - Socialni demokrati
7,SAB - Stranka Alenke Bratušek
8,SDS - Slovenska demokratska stranka
9,SLS - Slovenska ljudska stranka
10,SMC - Stranka modernega centra
11,SNS - Slovenska nacionalna stranka
12,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
