Party voted for in last national election, Finland
1,The National Coalition Party
2,The Swedish People's Party (SPP)
3,The Centre Party
4,True Finns
5,Christian Democrats
6,Freedom Party
7,Pirate Party
8,Independence Party
9,For the Poor
10,Green League
11,Social Democratic Party
12,Left Alliance
13,Communist Party
14,The Communist Workers' Party
15,Workers' Party
16,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
