Party voted for in last national election, Norway
1,Rødt
2,Sosialistisk Venstreparti
3,Arbeiderpartiet
4,Venstre
5,Kristelig Folkeparti
6,Senterpartiet
7,Høyre
8,Fremskrittspartiet
9,Kystpartiet
10,Miljøpartiet De Grønne
11,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
