Party voted for in last national election, Sweden
1,Centern
2,Folkpartiet liberalerna
3,Kristdemokraterna
4,Miljöpartiet de gröna
5,Moderata samlingspartiet
6,Socialdemokraterna
7,Vänsterpartiet
8,FI (Feministiskt initiativ)
9,Sverigedemokraterna
10,Annat parti
66,Not applicable
77,Refusal
88,Don't know
99,No answer
