Party voted for in last national election, Ireland (derived from 1st preference vote)
1,Anti-Austerity Alliance - People Before Profit
2,Fianna Fáil
3,Fine Gael
4,Green Party
5,Independent
6,Labour
7,Sinn Féin
8,Social Democrats
9,Socialist Party - United Left Alliance
10,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
