Party voted for in last national election, Turkey
1,AKP-Adalet ve Kalkinma Partisi
2,ANAP-Anavatan Partisi
3,BBP-Buyuk Birlik Partisi
4,CHP-Cumhuriyet Halk Partisi
5,DEHAP-DTH
6,DSP-Demokratik Sol Parti
7,DYP-Dogru Yol Partisi
8,GP-Genc Parti
9,MHP-Milliyetci Hareket Partisi
10,ODP- Ozgurluk ve Dayanisma Partisi
11,SP-Saadet Partisi
12,SHP-Sosyal Demokrat Halkci Parti
13,Other-minor parties
14,Cast blank/invalid ballot
66,Not applicable
77,Refusal
88,Don't know
99,No answer
