Party voted for in last national election, Slovenia
1,Slovenian Democratic Party - SDS
2,Liberal Democracy of Slovenia - LDS
3,United List of Social Democrats - ZLSD
4,New Slovenia - Christian Peoples Party - NSi
5,Slovene Peoples Party - SLS
6,Slovene National Party - SNS
7,Democratic Party of Pensioners of Slovenia - DESUS
8,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
