Party voted for in last national election, Hungary
1,Center Party
2,FYD-HDF Fed.of Young Democrats&Hungarian Dem.Forum
3,ISHP-Independent Small Holders
4,HTJP-Hungarian Truth
5,HSP-Hungarian Socialist Party
6,WP-Workers Party
7,FFD-Free Democrats
8,None of them
66,Not applicable
77,Refusal
88,Don't know
99,No answer
