Party voted for in last national election, Slovakia
1,HZDS Movement for a Democratic Slovakia
2,SDKU Slovak Democratic Christian Union
3,SMER
4,SMK Party of Hungarian Coalition
5,KDH Christian Democratic Movement
6,ANO New Citizen's Alliance
7,KSS Communist Party of Slovakia
8,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
