Party voted for in last national election, Iceland
1,Progressive Party
2,Liberal Party
4,Social Democratic Alliance
5,Independence Party
7,The Left Green Movement
9,Blank vote
10,Other parties
66,Not applicable
77,Refusal
88,Don't know
99,No answer
