Party voted for in last national election, Luxembourg
1,Parti Chrétien Social (PCS)
2,Parti Socialiste Ouvrier Luxembourgeois (PSOL)
3,Parti Démocrate (PD)
4,Les Verts
5,La Gauche
6,Comité d'action pour la Démocratie et la Justice sociale
7,Autres
66,Not applicable
77,Refusal
88,Don't know
99,No answer
