Party voted for in last national election, Denmark
1,Socialdemokratiet
2,Det Radikale Venstre
3,Det Konservative Folkeparti
4,Centrum-Demokraterne
5,Socialistisk Folkeparti
6,Dansk Folkeparti
7,Kristeligt Folkeparti
8,Venstre
9,Fremskridtspartiet
10,Enhedslisten
11,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
