Party voted for in last national election, Belgium
1,Agalev
2,CVP
3,SP
4,PNPB
5,VLD
6,VU-ID
7,PVDA-AE
8,Vlaams Blok
9,VIVANT
11,ECOLO
12,PSC
13,PRL-FDF
14,PS
15,FRONT NATIONAL
16,PTB-UA
17,OTHER
66,Not applicable
77,Refusal
88,Don't know
99,No answer
