Party voted for in last national election, Israel
1,Israel ahat
2,Likud
3,Shase
4,Meretz
5,Mafdal
6,Yahadut-hatora, Agudat-Isarel, Degel-hatora
7,Am ehad
8,Shinuy
9,Haehud haleumi
10,The center party
11,Israel baliya
12,Israel byteno
14,Hadereh hashlishit
15,Pnina Rozenblum
16,Tzomet
17,Gimlaim
31,Hadash
32,Balad
33,Hatnua Harabit Hameauhedet
34,Haravi Hahadash
35,Other party
36,White Ballot
66,Not applicable
77,Refusal
88,Don't know
99,No answer
