Party voted for in last national election, Spain
1,Partido Popular (PP)
2,Partido Socialista Obrero Español (PSOE)
3,Izquierda Unida (IU)
4,Convergència i Unió (CiU)
5,Esquerra Repubicana de Catalunya (ERC)
6,Iniciativa per Catalunya-Verds (ICV)
7,Partido Nacionalista Vasco (PNV)
8,Eusko Alkartasuna (EA)
9,Bloque Nacionalista Galego (BNG)
10,Coalición Canaria (CC)
11,Partido Andalucista (PA)
12,Chunta Aragonesista (CHA)
68,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
