Party voted for in last national election, Ireland
1,Fianna Fail
2,Fine Gael
3,Labour
4,Progressive Democrats
5,Green Party
6,Sinn Fein
7,Independent
8,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
