Party voted for in last national election, Slovenia
1,Democratic Party of Pensioners of Slovenia (DESUS)
2,Liberal Democracy of Slovenia (LDS)
3,Slovene People's Party (SLS)
4,Slovene National Party (SNS)
5,Social Democratic Party of Slovenia (SDS)
6,New Slovenia - Christian People's Party (NSi)
7,United List of Social Democrats (ZLSD)
8,Slovene Youth Party (SMS)
9,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
