Party voted for in last national election, Estonia
1,Pro Patria and Res Publica Union
2,The Estonian Centre Party
3,Estonian Reform Party
4,The People's Union of Estonia
5,The Social Democratic Party
6,Estonian Greens
7,Party of Estonian Christian Democrats
8,Estonian United Left Party
9,Estonian Independence Party
10,Russian Party in Estonia
11,campaigner
66,Not applicable
77,Refusal
88,Don't know
99,No answer
