Party voted for in last national election, Netherlands
1,Christian Democratic Party
2,Labour Party
3,Party for Freedom and Democracy
4,List Pim Fortuyn
5,Democrats '66
6,Green Left
7,Socialistic Party
8,Christian Union
9,Liveable Netherlands
10,Social Reformed Party
11,PVV (List Wilders)
12,Party for the Animals
13,Other
14,Blanc
66,Not applicable
77,Refusal
88,Don't know
99,No answer
