Party voted for in last national election, Sweden
1,Centre Party
2,Liberals
3,Christian Democrats
4,Green Party
5,Conservative
6,Social Democrats
7,Left
8,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
