Party voted for in last national election, Ukraine
1,Block of Lytvyn
2,Block of Yulia Tymoshenko
3,Block 'Our Ukraine - People's self-defense'
4,Communist party of Ukraine
5,Party of regions
6,Progressive socialist party of Ukraine
7,Socialist party of Ukraine
8,Other
9,Against all
66,Not applicable
77,Refusal
88,Don't know
99,No answer
