Party voted for in last national election, Latvia
1,The People's Party
2,Greens and Farmers Union
3,New Era
4,Concord Centre
5,Latvia's First party/Latvia's Way
6,For Fatherland and Freedom/ LNNK
7,For Human Rights in a United Latvia
8,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
