Party voted for in last national election 1, Germany
1,Social Democratic Party (SPD)
2,Christian Democratic Union (CDU/CSU)
3,Green Party (Bündnis 90/Die Grünen)
4,Liberal Democratic Party (FDP)
5,The Left Party.Party of Democratic Socialism (Linkspartei.PDS)
6,Republican Party (Republikaner)
7,National Democratic Party/German People's Union (NPD/DVU)
8,Other party
66,Not applicable
77,Refusal
88,Don't know
99,No answer
