Party voted for in last national election, Switzerland
1,Radicals
2,Christian democrats
3,Socialist party
4,Swiss people party
5,Liberal party
6,Christian-social
7,Swiss labor party
8,Green party
9,Green liberal party
10,Swiss democrats
11,Federal Democratic Union
12,Evangelical People's Party
13,Lega dei Ticinese
14,Other party
15,Blank paper
16,Mixed vote
66,Not applicable
77,Refusal
88,Don't know
99,No answer
