Party voted for in last national election, Slovenia
1,Democratic Party of Pensioners of Slovenia - DESUS
2,Liberal Democracy of Slovenia - LDS
3,LIPA  - Party
4,New Slovenia - Christian Peoples Party - NSi
5,Slovenian Democratic Party - SDS
6,Slovene Peoples Party - SLS
7,Slovene National Party - SNS
8,Social Democrats - SD
9,ZARES - New Politics
10,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
