Party voted for in last national election, Norway
1,Red Electoral Alliance (RV)
2,Socialist left party (SV)
3,Labour Party (A)
4,Liberal Party (V)
5,Christian Democratic Party (Krf)
6,Centre Party (Sp)
7,Conservative Party (H)
8,Progress Party (FrP)
9,Coast Party (KYST)
10,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
