Party voted for in last national election, Romania
1,PD-L
2,Alianta PSD-PC
3,PNL
4,PRM
5,UDMR
6,PNG-CD
9,PNTCD
11,Other: PR
12,Other: PIN
13,Other: FDGR
66,Not applicable
77,Refusal
88,Don't know
99,No answer
