Party voted for in last national election, Israel
1,HaAvoda- the Israeli Labor Party
2,Likud
3,Kadima
4,Shas
5,Meretz
6,National Religious Party
7,United Torah Judaism
8,Pensioners of Israel to the Knesset
9,Yisrael Beiteinu
10,Hadash
11,Balad
12,Ra'am- Ta'al
13,Hetz
14,Shinui
15,Ale Yarok
16,HaYerukim
17,Other
18,blank ballot
19,Did not vote
66,Not applicable
77,Refusal
88,Don't know
99,No answer
