Party voted for in last national election, Belgium
1,Groen!
2,CD&V + N-VA
4,Lijst Dedecker
5,SP.A. + Vlaams - Progressieven (Spirit)
7,Vlaams Belang
8,Open VLD + Vivant
9,CDH
10,Ecolo
11,Front National
12,MR
13,PS
14,Other
15,Blank
16,Invalid
66,Not applicable
77,Refusal
88,Don't know
99,No answer
