Party voted for in last national election, Bulgaria
1,Koalitziia za Balgariia
2,Dvijenie za Prava i Svobodi
3,Koalitziia na Rozata
4,Demokrati za Silna Balgariia
5,Natzionalno Dvijenie Simeon II
6,Koalitziia ODS
7,Koalitziia BNS
8,Novo Vreme
9,Evroroma
10,Koalitziia Ataka
11,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
