Party voted for in last national election, Greece
1,Panhellenic Socialist Movement – PASOK
2,New Democracy - ND
3,Communist Party - KKE
4,Coalition of the Radical Left - SYRIZA
5,Popular Orthodox Rally - LAOS
6,Greens
7,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
