Party voted for in last national election, Hungary
1,Fidesz - KDNP
2,MDF
3,MIÉP - Jobbik a Harmadik Út
4,MSZP
5,Munkáspárt
6,SZDSZ
7,Centrumpárt
8,Kereszténydemokrata Párt - Keresztény Centrum Összefogás
9,Magyar Vidék és Polgári Párt
10,MCF Roma Összefogás Párt
16,Other party
17,Didn't go to vote
66,Not applicable
77,Refusal
88,Don't know
99,No answer
