Party voted for in last national election, Netherlands
1,People's Party for Freedom and Democracy
2,Labour Party
3,Party for Freedom
4,Socialist Party
5,Christian Democratic Appeal
6,Democrats '66
7,Christian Union
8,Green Left
9,Reformed Political Party
10,Party for the Animals
11,50PLUS
16,Other
17,Blanc
66,Not applicable
77,Refusal
88,Don't know
99,No answer
