Party voted for in last national election, Belgium
1,Groen!
2,CD&V
3,N-VA
4,Lijst Dedecker
5,SP.A
6,PVDA+
7,Vlaams Belang
8,Open VLD
9,CDH
10,Ecolo
11,Front National
12,MR
13,PS
14,PTB
15,Parti Populaire
16,Other
17,Blank
18,Invalid
66,Not applicable
77,Refusal
88,Don't know
99,No answer
