Party voted for in last national election, Iceland
1,Bjarta framtíð
2,Framsóknarflokkinn
3,Sjálfstæðisflokkinn
4,Flokk fólksins
5,Húmanistaflokkinn
6,Flokk heimilanna
7,Alþýðufylkinguna
8,Samfylkinguna
9,Dögun
10,Vinstri hreyfinguna - grænt framboð
11,Pírata
12,Viðreisn
13,Íslensku þjóðfylkinguna
14,Annað, skrá hér
15,Skilaði auðu
66,Not applicable
77,Refusal
88,Don't know
99,No answer
