Party voted for in last national election, Austria
1,SPÖ
2,ÖVP
3,FPÖ
4,BZÖ
5,Grüne
6,KPÖ
7,NEOS
8,Piratenpartei Österreich
9,Team Frank Stronach
10,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
