Party voted for in last national election, Italy
1,Partido Democratico (PD)
2,Sinistra Ecologia e Libertà (SEL)
3,Rivoluzione Civile (Ingroia)
4,Movimento 5 Stelle
5,Scelta Civica (con Monti)
6,UDC
7,FLI
8,Popolo delle Libertà (PdL)
9,Lega Nord
10,Fratelli d'Italia
11,Radicali Italiani (Amnistia giustizia e libertà)
12,FARE - Giannino
13,La destra
14,Altro
66,Not applicable
77,Refusal
88,Don't know
99,No answer
