Party voted for in last national election, Poland
1,Left and Democrats
2,League of Polish Families
3,Civic Platform
4,Polish Labour Party
5,Polish Peasants Party
6,Law and Justice
7,Self-defence
8,Other party
66,Not applicable
77,Refusal
88,Don't know
99,No answer
