Party voted for in last national election, Estonia
1,Erakond Isamaa ja Res Publica Liit
2,Eesti Keskerakond
3,Eesti Reformierakond
4,Eestimaa Rahvaliit
5,Sotsiaaldemokraatlik Erakond
6,Erakond Eestimaa Rohelised
7,Other
8,Eesti Iseseisvuspartei
9,Erakond Eesti Kristlikud Demokraadid
10,Üksikkandidaat
11,Mitte kellegi poolt
66,Not applicable
77,Refusal
88,Don't know
99,No answer
