Party voted for in last national election, Hungary
1,Fidesz - KDNP
2,MDF
3,MIEP
4,MSZP
5,Munkaspart
6,SZDSZ
7,Centrum Part
8,Keresztenydemokrata Part - Kereszteny Centrum Osszefogas
9,Magyar Videk es Polgari Part
10,MCF Roma Osszefogas Part
11,Jobbik Magyarorszagert Mozgalom
12,Magyarorszagi Szocialdemokrata Part
13,Lehet Mas a Politika (LMP)
66,Not applicable
77,Refusal
86,Other party
87,Didn't go to vote
88,Don't know
99,No answer
