Party voted for in last national election, Switzerland
1,Radicals
2,Christian Democrats
3,Socialist Party
4,Swiss People’s Party
5,Liberal Party
6,Christian-Social Party
7,Swiss Labour Party
8,Green Party
9,Green Liberal Party
10,Swiss Democrats
11,Federal Democratic Union
12,Evangelical People’s Party
13,Ticino League
18,Blank paper
19,Mixed vote
20,Other party
66,Not applicable
77,Refusal
88,Don't know
99,No answer
