Party voted for in last national election, Israel
1,Mifleget Ha' Avoda
2,Ha' Likud
3,Kadima
4,Shas
5,Meretz
6,The Jewish House
7,Ya'Hadut Ha'Tora
8,Gil- Gimlaey Israeli la' Knesset
9,Israel Beiteinu
10,Ha'ihud HaLeumi
11,HaTnu'a HaYeruqa
12,Ale Yarok
13,HaYerukim
14,Hadash
15,Balad
16,Ra'am- Ta'al
17,Other
18,A white ballot (empty ballot note)
19,Did not vote
66,Not applicable
77,Refusal
88,Don't know
99,No answer
