Party voted for in last national election, Spain
1,Partido Popular
2,Partido Socialista Obrero Español (PSOE)
3,Izquierda Unida (IU)
4,Convergència i Unió (CiU)
5,Esquerra Republicana de Catalunya (ERC)
6,Partido Nacionalista Vasco (PNV)
7,Bloque Nacionalista Galego (BNG)
8,Coalición Canaria-Partido Nacionalista Canario (CC-PNC)
9,Nafarroa-Bai (NA-BAI)
10,Unión Progreso y Democracia (UPyD)
74,Other
75,Blank vote
76,Spoiled vote
66,Not applicable
77,Refusal
88,Don't know
99,No answer
