Party voted for in last national election, Ireland
1,Fianna Fáil
2,Fine Gael
3,Green Party
4,Independent
5,Labour
6,People Before Profit
7,Sinn Féin
8,Socialist Party
9,United Left Alliance
10,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
