Party voted for in last national election, Slovakia
1,Ordinary People and Independent Personalities (OLaNO)
2,Slovak Democratic Christian Union (SDKU)
3,SMER-Social Democracy
4,Most-Híd
5,Christian Democratic Movement (KDH)
6,Freedom and Solidarity (SaS)
7,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
