Party voted for in last national election, Norway
1,The Party Red (RØDT)
2,Socialist Left Party (SV)
3,Labour Party (A)
4,Liberal party (V)
5,Christian Democratic Party (KRF)
6,Centre Party (SP)
7,Conservative Party (H)
8,Progress Party (FRP)
9,Coastal Party (KYST)
10,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
